review_count,categories,opentime,closetime,stars,priceRange,noiselevel,delivery,zipcodes,avg_Income,population
8,"[Delis, Cafes, Restaurants]",9:00,20:00,4.5,1,average,FALSE,15222,18598,1999
42,"[Middle Eastern, Restaurants]",17:00,22:00,4,2,quiet,FALSE,15217,45173,26425
23,"[Sushi Bars, Restaurants]",7:30,17:00,4,2,quiet,TRUE,15220,44018,19693
5,[Restaurants],8:00,18:00,4,1,average,FALSE,15224,22880,12095
15,"[American (Traditional), Restaurants]",11:00,15:00,3.5,2,very_loud,FALSE,15212,26712,31850
33,"[Dive Bars, Bars, American (Traditional), Nightlife, Restaurants]",12:00,2:00,4,2,loud,FALSE,15209,38292,12891
7,"[Burgers, Bars, Nightlife, Restaurants]",18:00,22:00,3,2,average,NA,15203,27595,9613
105,"[French, Restaurants]",17:00,22:00,4.5,2,average,FALSE,15203,27595,9613
16,"[Soul Food, Barbeque, Restaurants]",11:00,20:00,4.5,2,quiet,FALSE,15226,37889,14648
8,"[Italian, Pizza, Restaurants]",10:00,0:00,3.5,0,quiet,NA,15212,26712,31850
151,"[Gastropubs, American (Traditional), Restaurants]",11:00,2:00,3.5,2,loud,FALSE,15213,18473,28320
4,"[American (New), Mexican, Restaurants]",23:00,21:00,4.5,1,quiet,FALSE,15203,27595,9613
11,"[Fast Food, Mexican, Restaurants]",0:00,0:00,3.5,2,average,FALSE,15216,39526,24691
5,"[Chinese, Restaurants]",12:00,21:00,3,1,NA,TRUE,15223,33724,7991
45,"[American (New), Restaurants]",11:00,22:00,3.5,3,quiet,FALSE,15222,18598,1999
30,"[Food, Restaurants]",6:30,14:00,3.5,4,quiet,FALSE,15219,14399,19204
3,"[Fast Food, Southern, Chicken Wings, Restaurants]",11:00,22:00,3.5,0,NA,NA,15221,30668,36387
6,"[Diners, Restaurants]",6:00,15:00,4,1,average,FALSE,15220,44018,19693
39,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",15:30,2:00,4,2,average,FALSE,15224,22880,12095
37,"[Seafood, Restaurants]",9:00,17:00,2.5,2,average,FALSE,15222,18598,1999
3,"[Burgers, Fast Food, Restaurants]",9:00,18:00,2.5,0,NA,FALSE,15227,38439,29621
3,"[American (New), Restaurants]",10:30,21:00,4.5,1,NA,NA,15212,26712,31850
3,"[Burgers, Fast Food, Restaurants]",10:00,19:00,1.5,1,very_loud,FALSE,15222,18598,1999
192,"[American (New), Mediterranean, Restaurants]",17:00,22:00,4.5,3,average,FALSE,15201,27031,14326
28,"[Food, Bubble Tea, Taiwanese, Chinese, Restaurants]",11:00,21:00,3,1,average,FALSE,15213,18473,28320
8,"[Sandwiches, Restaurants]",10:00,19:00,3.5,1,loud,FALSE,15205,38507,22586
50,"[Bars, American (New), Nightlife, Restaurants]",11:00,2:00,2.5,2,average,FALSE,15219,14399,19204
6,"[Thai, Restaurants]",11:00,21:00,4,2,average,TRUE,15222,18598,1999
39,[Restaurants],11:00,23:00,3,2,average,FALSE,15221,30668,36387
138,"[Pizza, Restaurants]",11:00,1:00,3.5,1,average,FALSE,15217,45173,26425
28,"[Sushi Bars, Teppanyaki, Japanese, Restaurants]",16:30,22:00,4,2,average,FALSE,15224,22880,12095
6,"[Indian, Restaurants]",11:30,21:30,4,1,NA,TRUE,15213,18473,28320
8,"[American (Traditional), Restaurants]",10:00,22:00,3.5,1,loud,FALSE,15203,27595,9613
46,"[Bars, Nightlife, Restaurants]",11:00,2:00,3,2,loud,FALSE,15203,27595,9613
9,"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]",5:30,19:00,3.5,1,NA,FALSE,15203,27595,9613
53,"[Restaurants, Italian]",11:00,22:00,3.5,2,average,TRUE,15224,22880,12095
32,"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",11:00,23:00,3,3,average,FALSE,15222,18598,1999
14,"[Chinese, Restaurants]",11:00,22:00,3,1,quiet,TRUE,15219,14399,19204
62,"[Pizza, Restaurants]",11:00,0:00,3.5,1,average,FALSE,15206,28517,32482
54,"[American (New), Restaurants]",11:00,2:00,4,2,loud,FALSE,15216,39526,24691
5,"[Breakfast & Brunch, Restaurants]",8:00,15:00,4.5,2,quiet,NA,15220,44018,19693
5,"[American (Traditional), Restaurants]",6:00,21:30,3.5,2,NA,FALSE,15221,30668,36387
10,"[American (Traditional), Restaurants]",11:00,23:00,3.5,2,NA,FALSE,15203,27595,9613
62,"[Seafood, Restaurants]",11:30,21:30,3,2,average,FALSE,15203,27595,9613
43,"[Pakistani, Indian, Restaurants]",11:30,15:00,3.5,1,quiet,FALSE,15222,18598,1999
76,"[American (New), Restaurants]",7:00,21:00,3.5,2,quiet,FALSE,15222,18598,1999
3,"[Pizza, Restaurants]",10:00,21:00,4,1,loud,FALSE,15212,26712,31850
139,"[Italian, Pizza, Restaurants]",12:00,22:00,4,2,average,FALSE,15228,58440,17723
30,"[Italian, Pizza, Sandwiches, Restaurants]",10:00,0:00,3.5,1,quiet,TRUE,15217,45173,26425
56,"[Restaurants, Italian]",16:00,22:00,3.5,2,average,FALSE,15211,34067,12477
64,"[Steakhouses, Restaurants, Brazilian]",17:00,21:00,3.5,3,loud,FALSE,15219,14399,19204
5,"[Bistros, Restaurants]",16:00,0:00,3.5,2,quiet,FALSE,15212,26712,31850
47,"[Restaurants, Middle Eastern, Turkish]",11:00,19:00,4.5,1,average,FALSE,15222,18598,1999
6,"[Bars, American (Traditional), Nightlife, Restaurants]",11:00,2:00,3,1,average,FALSE,15205,38507,22586
225,"[Cajun/Creole, Restaurants]",11:00,23:00,3.5,2,average,FALSE,15222,18598,1999
5,"[American (New), Restaurants]",10:00,22:00,4,1,NA,FALSE,15234,40756,14911
7,"[Pubs, Bars, American (New), Nightlife, Restaurants]",11:00,2:00,3.5,1,NA,FALSE,15205,38507,22586
84,"[Middle Eastern, Restaurants]",11:30,21:30,3.5,2,average,FALSE,15213,18473,28320
14,"[Sandwiches, Restaurants]",9:00,18:00,4,1,average,FALSE,15201,27031,14326
28,"[Middle Eastern, Restaurants]",12:00,21:00,4,2,average,FALSE,15217,45173,26425
9,"[Hot Dogs, Fast Food, Sandwiches, Restaurants]",0:00,0:00,4,1,quiet,FALSE,15222,18598,1999
11,"[Delis, Restaurants]",11:00,22:00,3.5,1,average,TRUE,15213,18473,28320
23,"[Pubs, Irish, Nightlife, Bars, Restaurants]",11:30,1:00,3.5,2,average,FALSE,15222,18598,1999
6,[Restaurants],11:00,21:00,4,1,average,FALSE,15233,23841,4876
68,"[Food, Do-It-Yourself Food, Asian Fusion, Mongolian, Restaurants]",11:00,22:00,3.5,2,average,FALSE,15203,27595,9613
19,"[Fast Food, Restaurants]",9:00,17:30,2,1,average,FALSE,15203,27595,9613
45,"[Mexican, Restaurants]",11:00,21:30,2.5,2,quiet,FALSE,15217,45173,26425
9,"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]",5:30,20:00,3,1,average,FALSE,15217,45173,26425
10,"[Chinese, Restaurants]",7:00,17:00,4,2,quiet,TRUE,15234,40756,14911
8,"[Greek, Restaurants]",11:00,22:00,4.5,1,average,FALSE,15234,40756,14911
51,"[Bars, American (Traditional), Nightlife, Restaurants]",11:00,2:00,3.5,2,average,FALSE,15224,22880,12095
57,"[Japanese, Restaurants]",11:00,14:00,4,2,average,FALSE,15224,22880,12095
7,"[Pizza, Restaurants]",7:00,0:00,4.5,1,quiet,TRUE,15201,27031,14326
56,"[Tapas/Small Plates, Vegetarian, Latin American, Restaurants]",17:00,22:00,4,2,average,FALSE,15221,30668,36387
4,[Restaurants],9:00,2:00,2.5,1,average,NA,15213,18473,28320
14,"[Sushi Bars, Restaurants]",10:00,18:00,2.5,2,average,FALSE,15222,18598,1999
90,"[Mexican, Restaurants]",11:00,22:00,3,2,average,FALSE,15222,18598,1999
7,"[Chinese, Restaurants]",11:00,22:00,2.5,3,quiet,TRUE,15216,39526,24691
70,"[Mexican, Restaurants]",9:00,17:00,4.5,1,average,FALSE,15213,18473,28320
92,"[Food, Coffee & Tea, Cafes, Restaurants]",7:00,19:00,4.5,1,average,FALSE,15206,28517,32482
4,"[Barbeque, Restaurants]",12:00,22:00,4,2,NA,TRUE,15206,28517,32482
7,"[Mexican, Restaurants]",10:30,15:00,4,1,loud,FALSE,15222,18598,1999
14,"[Bars, Mexican, Nightlife, Restaurants]",11:00,2:00,3,2,NA,NA,15213,18473,28320
15,"[Indian, Restaurants]",17:00,22:00,3.5,2,average,TRUE,15222,18598,1999
38,"[American (New), Restaurants]",17:00,3:00,3.5,2,average,FALSE,15222,18598,1999
16,"[Pizza, Restaurants]",11:00,21:00,3.5,1,average,TRUE,15213,18473,28320
6,"[American (New), Restaurants]",7:00,20:00,2.5,0,NA,NA,15219,14399,19204
8,"[Diners, Restaurants]",11:00,15:00,5,1,average,TRUE,15205,38507,22586
127,"[Thai, Restaurants]",12:00,22:00,3.5,2,quiet,TRUE,15217,45173,26425
140,"[Breakfast & Brunch, American (New), Restaurants]",8:00,14:00,4,2,average,FALSE,15203,27595,9613
11,"[Indian, Restaurants]",11:00,22:00,3,1,quiet,NA,15216,39526,24691
6,"[Burgers, Bars, Nightlife, Delis, Restaurants]",11:00,1:00,3,2,average,FALSE,15215,43750,13212
372,"[Belgian, Restaurants]",11:00,22:00,4,2,average,FALSE,15206,28517,32482
12,"[Caribbean, Restaurants]",9:00,17:00,4.5,2,quiet,FALSE,15206,28517,32482
47,"[Steakhouses, Restaurants]",17:00,23:00,4,4,quiet,TRUE,15222,18598,1999
86,"[Pizza, Restaurants]",11:00,0:30,3.5,1,average,FALSE,15216,39526,24691
6,"[Pizza, Restaurants]",11:00,23:00,2.5,2,average,TRUE,15222,18598,1999
26,"[Mexican, Restaurants]",11:00,22:00,3,2,average,FALSE,15238,67370,13571
16,"[Grocery, Food, Ethnic Food, Specialty Food, Sandwiches, Restaurants]",11:00,22:00,5,1,average,FALSE,15213,18473,28320
7,"[American (Traditional), Restaurants]",11:00,2:00,5,1,loud,FALSE,15223,33724,7991
7,"[Pizza, Restaurants]",8:00,19:30,4,1,average,TRUE,15210,27041,31216
4,"[Pizza, Restaurants]",10:00,20:00,3,1,quiet,NA,15224,22880,12095
180,"[Asian Fusion, Restaurants]",17:00,22:00,4,3,average,FALSE,15232,32552,11792
5,"[Food, Ice Cream & Frozen Yogurt, Fast Food, Restaurants]",11:00,21:30,4,1,NA,FALSE,15216,39526,24691
70,"[Live/Raw Food, Vegan, Restaurants]",6:00,21:00,4.5,2,average,FALSE,15232,32552,11792
8,"[Diners, Restaurants]",6:00,14:00,3.5,1,quiet,FALSE,15227,38439,29621
11,"[Restaurants, Italian]",12:00,21:00,4,2,average,FALSE,15226,37889,14648
74,"[Restaurants, Italian]",11:00,22:00,2.5,2,average,FALSE,15222,18598,1999
173,"[Seafood, Restaurants]",11:00,22:00,4,3,average,FALSE,15211,34067,12477
55,"[Turkish, Mediterranean, Restaurants]",11:00,22:00,4,2,quiet,FALSE,15232,32552,11792
4,"[Food, Breakfast & Brunch, Bagels, Sandwiches, Restaurants]",5:30,17:00,2.5,1,average,FALSE,15219,14399,19204
23,"[Mexican, Restaurants]",11:00,21:00,3,2,average,FALSE,15222,18598,1999
16,"[American (Traditional), Restaurants]",6:00,20:00,3.5,1,quiet,FALSE,15222,18598,1999
101,"[Pizza, Restaurants]",17:00,22:00,4,2,average,FALSE,15206,28517,32482
15,"[Greek, Sandwiches, Salad, Restaurants]",10:30,16:30,3.5,1,loud,FALSE,15222,18598,1999
89,"[American (New), Restaurants]",17:00,22:00,3.5,3,average,FALSE,15222,18598,1999
31,"[Thai, Cafes, Restaurants]",11:00,22:00,4,2,quiet,TRUE,15203,27595,9613
12,"[Persian/Iranian, Mediterranean, Restaurants]",11:00,0:00,2,1,NA,TRUE,15213,18473,28320
24,"[Bars, Tapas Bars, Nightlife, Lounges, Champagne Bars, Restaurants]",7:00,18:00,3.5,2,very_loud,FALSE,15222,18598,1999
15,"[Sushi Bars, Japanese, Restaurants]",11:00,20:00,4.5,2,average,FALSE,15222,18598,1999
6,"[Restaurants, Italian]",16:00,22:00,3.5,0,very_loud,FALSE,15216,39526,24691
38,"[American (Traditional), American (New), Restaurants]",11:00,15:00,2.5,3,quiet,FALSE,15211,34067,12477
13,"[Food, Greek, Coffee & Tea, Restaurants]",6:00,18:00,3.5,1,average,FALSE,15233,23841,4876
88,"[American (New), Restaurants]",7:00,22:00,4,1,average,FALSE,15213,18473,28320
65,"[Mexican, Restaurants]",10:00,22:00,4,1,average,TRUE,15224,22880,12095
31,"[Fast Food, Mexican, Restaurants]",11:00,22:00,4,1,average,FALSE,15213,18473,28320
41,"[Bars, Burgers, Nightlife, American (New), Sports Bars, Restaurants]",11:00,2:00,3.5,2,average,FALSE,15211,34067,12477
17,"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]",5:30,18:00,3.5,1,quiet,FALSE,15213,18473,28320
5,"[Fast Food, Sandwiches, Restaurants]",10:00,23:00,3,0,average,NA,15213,18473,28320
7,"[Irish, Restaurants]",11:00,22:00,3,0,very_loud,NA,15228,58440,17723
23,"[Pizza, Restaurants]",10:00,1:00,3,2,quiet,TRUE,15206,28517,32482
4,"[Restaurants, Pizza, Italian]",11:00,21:30,4,1,NA,NA,15243,60717,13660
13,"[American (Traditional), Restaurants]",11:00,22:00,3.5,2,average,TRUE,15238,67370,13571
8,"[Restaurants, Italian]",16:00,23:30,3.5,2,loud,NA,15222,18598,1999
9,"[Soup, Sandwiches, Salad, Restaurants]",6:00,21:00,3,1,average,FALSE,15213,18473,28320
27,"[Italian, Pizza, Restaurants]",11:00,0:00,3.5,2,average,TRUE,15213,18473,28320
5,"[American (New), Restaurants]",11:30,22:00,3,2,NA,FALSE,15233,23841,4876
3,"[Seafood, Restaurants]",16:00,21:30,1.5,1,average,FALSE,15210,27041,31216
11,"[Sandwiches, Restaurants]",10:00,19:00,4,1,average,TRUE,15219,14399,19204
14,"[Pizza, Restaurants]",11:00,4:00,3.5,0,NA,NA,15203,27595,9613
11,"[American (Traditional), Restaurants]",11:00,23:00,2.5,1,NA,FALSE,15203,27595,9613
33,"[Italian, American (New), Restaurants]",4:00,22:00,3.5,3,average,FALSE,15203,27595,9613
23,"[Delis, Sandwiches, Restaurants]",7:00,18:00,3.5,1,quiet,TRUE,15213,18473,28320
14,"[Hot Dogs, Restaurants]",10:00,17:00,3,1,quiet,FALSE,15222,18598,1999
49,"[Belgian, Bars, American (New), Nightlife, Restaurants]",11:00,0:00,3.5,2,average,FALSE,15205,38507,22586
4,"[Chinese, Restaurants]",11:00,22:00,2,1,NA,TRUE,15217,45173,26425
334,"[American (New), Restaurants]",11:30,22:00,4,3,average,FALSE,15222,18598,1999
9,"[Chinese, Restaurants]",10:00,21:30,4,1,quiet,FALSE,15205,38507,22586
58,"[Restaurants, Italian]",16:00,22:00,4.5,4,quiet,FALSE,15206,28517,32482
41,"[Bars, American (Traditional), Gay Bars, Nightlife, Restaurants]",16:00,2:00,4,1,loud,FALSE,15232,32552,11792
3,"[Restaurants, Italian]",10:00,19:00,4.5,2,NA,NA,15203,27595,9613
4,"[Italian, Pizza, Salad, Restaurants]",10:00,2:00,3,1,NA,TRUE,15219,14399,19204
8,"[Pubs, Bars, Cafes, Nightlife, Restaurants]",11:00,21:30,4.5,1,very_loud,NA,15213,18473,28320
3,"[Burgers, Hot Dogs, Restaurants]",10:00,18:00,3.5,1,NA,FALSE,15226,37889,14648
139,"[Wine Bars, Bars, American (New), Nightlife, Restaurants]",12:00,22:00,4,3,average,FALSE,15224,22880,12095
212,"[Taiwanese, Chinese, Restaurants]",11:00,22:00,4,2,average,TRUE,15217,45173,26425
37,"[Bars, American (New), Nightlife, Restaurants]",15:00,2:00,4,1,very_loud,FALSE,15201,27031,14326
23,"[Uzbek, Russian, Halal, Restaurants]",11:00,22:00,4,2,quiet,TRUE,15211,34067,12477
7,"[Barbeque, Restaurants]",9:30,17:30,4,2,average,FALSE,15219,14399,19204
25,"[Pizza, Restaurants]",11:00,23:00,3.5,1,average,FALSE,15216,39526,24691
60,"[Dive Bars, Bars, American (Traditional), Nightlife, Restaurants]",11:00,2:00,3.5,1,very_loud,FALSE,15213,18473,28320
21,"[Indian, Restaurants]",11:00,22:00,3,2,NA,TRUE,15213,18473,28320
65,"[Wine Bars, Bars, American (New), Nightlife, Restaurants]",5:30,19:30,3.5,3,loud,FALSE,15222,18598,1999
7,"[Food, Indian, Food Trucks, Restaurants]",11:00,17:00,3.5,1,NA,FALSE,15213,18473,28320
17,"[Buffets, Chinese, Restaurants]",17:30,22:30,3,2,average,FALSE,15226,37889,14648
14,"[Delis, Sandwiches, Restaurants]",9:00,18:00,3,1,quiet,FALSE,15213,18473,28320
74,"[Sushi Bars, Japanese, Restaurants]",17:00,21:30,4,4,average,FALSE,15232,32552,11792
16,"[Buffets, Chinese, Restaurants]",11:00,21:00,3,1,NA,TRUE,15222,18598,1999
19,"[Thai, Restaurants]",11:30,22:00,3.5,2,quiet,FALSE,15206,28517,32482
62,"[Pubs, Bars, Nightlife, Irish, Restaurants]",11:00,0:00,3,2,loud,FALSE,15203,27595,9613
5,"[Mediterranean, Restaurants]",16:00,22:00,3.5,2,quiet,FALSE,15213,18473,28320
91,"[American (Traditional), Restaurants]",11:00,2:00,3.5,2,average,FALSE,15232,32552,11792
9,"[Restaurants, Middle Eastern, Turkish]",17:00,22:00,4,2,NA,FALSE,15201,27031,14326
10,"[Korean, Restaurants]",11:00,22:00,4,2,average,FALSE,15232,32552,11792
42,"[American (New), Restaurants]",11:00,21:00,4,2,quiet,FALSE,15217,45173,26425
15,"[Restaurants, Italian]",10:30,20:00,4.5,1,NA,TRUE,15222,18598,1999
12,"[Turkish, Middle Eastern, Pizza, Restaurants]",11:00,0:00,3.5,1,quiet,TRUE,15213,18473,28320
25,"[Hungarian, Restaurants]",11:00,18:00,4,2,quiet,FALSE,15207,28156,13203
33,"[Breakfast & Brunch, Diners, Restaurants]",7:30,15:00,4,1,loud,FALSE,15228,58440,17723
37,"[Bars, American (Traditional), Nightlife, Restaurants]",11:00,2:00,3,1,average,FALSE,15232,32552,11792
265,"[Vegetarian, Korean, Japanese, Chinese, Restaurants]",11:00,21:00,2.5,1,average,TRUE,15213,18473,28320
76,"[Food, Breakfast & Brunch, Grocery, Butcher, Restaurants]",10:00,20:00,4,2,average,FALSE,15222,18598,1999
21,"[Food, Grocery, Delis, Restaurants]",9:00,18:00,4.5,1,average,FALSE,15224,22880,12095
25,"[Sandwiches, Restaurants]",8:00,22:30,4.5,1,loud,FALSE,15218,35983,14956
8,"[Food, Burgers, Food Trucks, Restaurants]",11:00,15:00,4,2,quiet,FALSE,15219,14399,19204
3,"[Chinese, Restaurants]",9:00,17:00,3.5,0,NA,NA,15221,30668,36387
13,"[Restaurants, Italian]",16:00,21:00,4,3,average,NA,15201,27031,14326
10,"[Burgers, Fast Food, Hot Dogs, Restaurants]",7:30,21:00,4,1,average,FALSE,15205,38507,22586
9,"[Restaurants, Italian]",11:30,21:00,4,2,average,FALSE,15220,44018,19693
13,"[Delis, Diners, Restaurants]",12:00,22:00,3,1,average,FALSE,15217,45173,26425
14,"[Pizza, Restaurants]",10:00,23:00,3.5,1,average,TRUE,15212,26712,31850
25,"[Thai, Restaurants]",11:00,22:00,4,2,quiet,FALSE,15217,45173,26425
7,"[American (New), Restaurants]",11:00,2:00,3.5,2,average,TRUE,15235,41367,39126
127,"[American (New), Restaurants]",17:00,22:00,4,2,average,FALSE,15232,32552,11792
5,"[American (New), Restaurants]",10:00,18:00,3,0,NA,NA,15203,27595,9613
58,"[Asian Fusion, Cambodian, Restaurants]",17:00,5:00,4,1,average,FALSE,15201,27031,14326
4,"[Fast Food, Japanese, Restaurants]",11:00,22:00,4.5,1,quiet,FALSE,15224,22880,12095
