,review_count,categories,opentime,closetime,stars,priceRange,noiselevel,delivery,zipcodes,avg_Income,population
101,3,Burgers,9:00,18:00,2.5,0,,FALSE,15227,38439,29621
102,3,American,10:30,21:00,4.5,1,,,15212,26712,31850
103,3,Burgers,10:00,19:00,1.5,1,very_loud,FALSE,15222,18598,1999
104,192,American,17:00,22:00,4.5,3,average,FALSE,15201,27031,14326
105,28,Chinese,11:00,21:00,3,1,average,FALSE,15213,18473,28320
106,8,Sandwiches,10:00,19:00,3.5,1,loud,FALSE,15205,38507,22586
107,50,American,11:00,2:00,2.5,2,average,FALSE,15219,14399,19204
108,6,Thai,11:00,21:00,4,2,average,TRUE,15222,18598,1999
109,39,Others,11:00,23:00,3,2,average,FALSE,15221,30668,36387
110,138,Pizza,11:00,1:00,3.5,1,average,FALSE,15217,45173,26425
111,28,Japanese,16:30,22:00,4,2,average,FALSE,15224,22880,12095
112,6,Others,11:30,21:30,4,1,,TRUE,15213,18473,28320
113,8,American,10:00,22:00,3.5,1,loud,FALSE,15203,27595,9613
114,46,Others,11:00,2:00,3,2,loud,FALSE,15203,27595,9613
115,9,Sandwiches,5:30,19:00,3.5,1,,FALSE,15203,27595,9613
116,53,Italian,11:00,22:00,3.5,2,average,TRUE,15224,22880,12095
117,32,Italian,11:00,23:00,3,3,average,FALSE,15222,18598,1999
118,14,Chinese,11:00,22:00,3,1,quiet,TRUE,15219,14399,19204
119,62,Pizza,11:00,0:00,3.5,1,average,FALSE,15206,28517,32482
120,54,American,11:00,2:00,4,2,loud,FALSE,15216,39526,24691
121,5,Others,8:00,15:00,4.5,2,quiet,,15220,44018,19693
122,5,American,6:00,21:30,3.5,2,,FALSE,15221,30668,36387
123,10,American,11:00,23:00,3.5,2,,FALSE,15203,27595,9613
124,62,Seafood,11:30,21:30,3,2,average,FALSE,15203,27595,9613
125,43,Others,11:30,15:00,3.5,1,quiet,FALSE,15222,18598,1999
126,76,American,7:00,21:00,3.5,2,quiet,FALSE,15222,18598,1999
127,3,Pizza,10:00,21:00,4,1,loud,FALSE,15212,26712,31850
128,139,Pizza,12:00,22:00,4,2,average,FALSE,15228,58440,17723
129,30,Sandwiches,10:00,0:00,3.5,1,quiet,TRUE,15217,45173,26425
130,56,Italian,16:00,22:00,3.5,2,average,FALSE,15211,34067,12477
131,64,Steakhouses,17:00,21:00,3.5,3,loud,FALSE,15219,14399,19204
132,5,Others,16:00,0:00,3.5,2,quiet,FALSE,15212,26712,31850
133,47,Middle Eastern,11:00,19:00,4.5,1,average,FALSE,15222,18598,1999
134,6,American,11:00,2:00,3,1,average,FALSE,15205,38507,22586
135,225,Others,11:00,23:00,3.5,2,average,FALSE,15222,18598,1999
136,5,American,10:00,22:00,4,1,,FALSE,15234,40756,14911
137,7,American,11:00,2:00,3.5,1,,FALSE,15205,38507,22586
138,84,Middle Eastern,11:30,21:30,3.5,2,average,FALSE,15213,18473,28320
139,14,Sandwiches,9:00,18:00,4,1,average,FALSE,15201,27031,14326
140,28,Middle Eastern,12:00,21:00,4,2,average,FALSE,15217,45173,26425
141,9,Sandwiches,0:00,0:00,4,1,quiet,FALSE,15222,18598,1999
142,11,Deli,11:00,22:00,3.5,1,average,TRUE,15213,18473,28320
143,23,Others,11:30,1:00,3.5,2,average,FALSE,15222,18598,1999
144,6,Others,11:00,21:00,4,1,average,FALSE,15233,23841,4876
145,68,Others,11:00,22:00,3.5,2,average,FALSE,15203,27595,9613
146,19,Others,9:00,17:30,2,1,average,FALSE,15203,27595,9613
147,45,Mexican,11:00,21:30,2.5,2,quiet,FALSE,15217,45173,26425
148,9,Sandwiches,5:30,20:00,3,1,average,FALSE,15217,45173,26425
149,10,Chinese,7:00,17:00,4,2,quiet,TRUE,15234,40756,14911
150,8,Others,11:00,22:00,4.5,1,average,FALSE,15234,40756,14911
151,51,American,11:00,2:00,3.5,2,average,FALSE,15224,22880,12095
152,57,Japanese,11:00,14:00,4,2,average,FALSE,15224,22880,12095
153,7,Pizza,7:00,0:00,4.5,1,quiet,TRUE,15201,27031,14326
154,56,American,17:00,22:00,4,2,average,FALSE,15221,30668,36387
155,4,Others,9:00,2:00,2.5,1,average,,15213,18473,28320
156,14,Others,10:00,18:00,2.5,2,average,FALSE,15222,18598,1999
157,90,Mexican,11:00,22:00,3,2,average,FALSE,15222,18598,1999
158,7,Chinese,11:00,22:00,2.5,3,quiet,TRUE,15216,39526,24691
159,70,Mexican,9:00,17:00,4.5,1,average,FALSE,15213,18473,28320
160,92,Others,7:00,19:00,4.5,1,average,FALSE,15206,28517,32482
161,4,Others,12:00,22:00,4,2,,TRUE,15206,28517,32482
162,7,Mexican,10:30,15:00,4,1,loud,FALSE,15222,18598,1999
163,14,Mexican,11:00,2:00,3,2,,,15213,18473,28320
164,15,Others,17:00,22:00,3.5,2,average,TRUE,15222,18598,1999
165,38,American,17:00,3:00,3.5,2,average,FALSE,15222,18598,1999
166,16,Pizza,11:00,21:00,3.5,1,average,TRUE,15213,18473,28320
167,6,American,7:00,20:00,2.5,0,,,15219,14399,19204
168,8,Others,11:00,15:00,5,1,average,TRUE,15205,38507,22586
169,127,Thai,12:00,22:00,3.5,2,quiet,TRUE,15217,45173,26425
170,140,American,8:00,14:00,4,2,average,FALSE,15203,27595,9613
171,11,Others,11:00,22:00,3,1,quiet,,15216,39526,24691
172,6,Deli,11:00,1:00,3,2,average,FALSE,15215,43750,13212
173,372,Others,11:00,22:00,4,2,average,FALSE,15206,28517,32482
174,12,Others,9:00,17:00,4.5,2,quiet,FALSE,15206,28517,32482
175,47,Steakhouses,17:00,23:00,4,4,quiet,TRUE,15222,18598,1999
176,86,Pizza,11:00,0:30,3.5,1,average,FALSE,15216,39526,24691
177,6,Pizza,11:00,23:00,2.5,2,average,TRUE,15222,18598,1999
178,26,Mexican,11:00,22:00,3,2,average,FALSE,15238,67370,13571
179,16,Sandwiches,11:00,22:00,5,1,average,FALSE,15213,18473,28320
180,7,American,11:00,2:00,5,1,loud,FALSE,15223,33724,7991
181,7,Pizza,8:00,19:30,4,1,average,TRUE,15210,27041,31216
182,4,Pizza,10:00,20:00,3,1,quiet,,15224,22880,12095
183,180,Others,17:00,22:00,4,3,average,FALSE,15232,32552,11792
184,5,Others,11:00,21:30,4,1,,FALSE,15216,39526,24691
185,70,Others,6:00,21:00,4.5,2,average,FALSE,15232,32552,11792
186,8,Others,6:00,14:00,3.5,1,quiet,FALSE,15227,38439,29621
187,11,Italian,12:00,21:00,4,2,average,FALSE,15226,37889,14648
188,74,Italian,11:00,22:00,2.5,2,average,FALSE,15222,18598,1999
189,173,Seafood,11:00,22:00,4,3,average,FALSE,15211,34067,12477
190,55,Others,11:00,22:00,4,2,quiet,FALSE,15232,32552,11792
191,4,Sandwiches,5:30,17:00,2.5,1,average,FALSE,15219,14399,19204
192,23,Mexican,11:00,21:00,3,2,average,FALSE,15222,18598,1999
193,16,American,6:00,20:00,3.5,1,quiet,FALSE,15222,18598,1999
194,101,Pizza,17:00,22:00,4,2,average,FALSE,15206,28517,32482
195,15,Sandwiches,10:30,16:30,3.5,1,loud,FALSE,15222,18598,1999
196,89,American,17:00,22:00,3.5,3,average,FALSE,15222,18598,1999
197,31,Thai,11:00,22:00,4,2,quiet,TRUE,15203,27595,9613
198,12,Others,11:00,0:00,2,1,,TRUE,15213,18473,28320
199,24,Others,7:00,18:00,3.5,2,very_loud,FALSE,15222,18598,1999
200,15,Japanese,11:00,20:00,4.5,2,average,FALSE,15222,18598,1999
201,6,Italian,16:00,22:00,3.5,0,very_loud,FALSE,15216,39526,24691
202,38,American,11:00,15:00,2.5,3,quiet,FALSE,15211,34067,12477
203,13,Others,6:00,18:00,3.5,1,average,FALSE,15233,23841,4876
204,88,American,7:00,22:00,4,1,average,FALSE,15213,18473,28320
205,65,Mexican,10:00,22:00,4,1,average,TRUE,15224,22880,12095
206,31,Mexican,11:00,22:00,4,1,average,FALSE,15213,18473,28320
207,41,Burgers,11:00,2:00,3.5,2,average,FALSE,15211,34067,12477
208,17,Sandwiches,5:30,18:00,3.5,1,quiet,FALSE,15213,18473,28320
209,5,Sandwiches,10:00,23:00,3,0,average,,15213,18473,28320
210,7,Others,11:00,22:00,3,0,very_loud,,15228,58440,17723
211,23,Pizza,10:00,1:00,3,2,quiet,TRUE,15206,28517,32482
212,4,Pizza,11:00,21:30,4,1,,,15243,60717,13660
213,13,American,11:00,22:00,3.5,2,average,TRUE,15238,67370,13571
214,8,Italian,16:00,23:30,3.5,2,loud,,15222,18598,1999
215,9,Sandwiches,6:00,21:00,3,1,average,FALSE,15213,18473,28320
216,27,Pizza,11:00,0:00,3.5,2,average,TRUE,15213,18473,28320
217,5,American,11:30,22:00,3,2,,FALSE,15233,23841,4876
218,3,Seafood,16:00,21:30,1.5,1,average,FALSE,15210,27041,31216
219,11,Sandwiches,10:00,19:00,4,1,average,TRUE,15219,14399,19204
220,14,Pizza,11:00,4:00,3.5,0,,,15203,27595,9613
221,11,American,11:00,23:00,2.5,1,,FALSE,15203,27595,9613
222,33,American,4:00,22:00,3.5,3,average,FALSE,15203,27595,9613
223,23,Deli,7:00,18:00,3.5,1,quiet,TRUE,15213,18473,28320
224,14,Others,10:00,17:00,3,1,quiet,FALSE,15222,18598,1999
225,49,American,11:00,0:00,3.5,2,average,FALSE,15205,38507,22586
226,4,Chinese,11:00,22:00,2,1,,TRUE,15217,45173,26425
227,334,American,11:30,22:00,4,3,average,FALSE,15222,18598,1999
228,9,Chinese,10:00,21:30,4,1,quiet,FALSE,15205,38507,22586
229,58,Italian,16:00,22:00,4.5,4,quiet,FALSE,15206,28517,32482
230,41,American,16:00,2:00,4,1,loud,FALSE,15232,32552,11792
231,3,Italian,10:00,19:00,4.5,2,,,15203,27595,9613
232,4,Pizza,10:00,2:00,3,1,,TRUE,15219,14399,19204
233,8,Others,11:00,21:30,4.5,1,very_loud,,15213,18473,28320
234,3,Burgers,10:00,18:00,3.5,1,,FALSE,15226,37889,14648
235,139,American,12:00,22:00,4,3,average,FALSE,15224,22880,12095
236,212,Chinese,11:00,22:00,4,2,average,TRUE,15217,45173,26425
237,37,American,15:00,2:00,4,1,very_loud,FALSE,15201,27031,14326
238,23,Others,11:00,22:00,4,2,quiet,TRUE,15211,34067,12477
239,7,Others,9:30,17:30,4,2,average,FALSE,15219,14399,19204
240,25,Pizza,11:00,23:00,3.5,1,average,FALSE,15216,39526,24691
241,60,American,11:00,2:00,3.5,1,very_loud,FALSE,15213,18473,28320
242,21,Others,11:00,22:00,3,2,,TRUE,15213,18473,28320
243,65,American,5:30,19:30,3.5,3,loud,FALSE,15222,18598,1999
244,7,Others,11:00,17:00,3.5,1,,FALSE,15213,18473,28320
245,17,Chinese,17:30,22:30,3,2,average,FALSE,15226,37889,14648
246,14,Deli,9:00,18:00,3,1,quiet,FALSE,15213,18473,28320
247,74,Japanese,17:00,21:30,4,4,average,FALSE,15232,32552,11792
248,16,Chinese,11:00,21:00,3,1,,TRUE,15222,18598,1999
249,19,Thai,11:30,22:00,3.5,2,quiet,FALSE,15206,28517,32482
250,62,Others,11:00,0:00,3,2,loud,FALSE,15203,27595,9613
251,5,Others,16:00,22:00,3.5,2,quiet,FALSE,15213,18473,28320
252,91,American,11:00,2:00,3.5,2,average,FALSE,15232,32552,11792
253,9,Middle Eastern,17:00,22:00,4,2,,FALSE,15201,27031,14326
254,10,Japanese,11:00,22:00,4,2,average,FALSE,15232,32552,11792
255,42,American,11:00,21:00,4,2,quiet,FALSE,15217,45173,26425
256,15,Italian,10:30,20:00,4.5,1,,TRUE,15222,18598,1999
257,12,Pizza,11:00,0:00,3.5,1,quiet,TRUE,15213,18473,28320
258,25,Others,11:00,18:00,4,2,quiet,FALSE,15207,28156,13203
259,33,Others,7:30,15:00,4,1,loud,FALSE,15228,58440,17723
260,37,American,11:00,2:00,3,1,average,FALSE,15232,32552,11792
261,265,Chinese,11:00,21:00,2.5,1,average,TRUE,15213,18473,28320
262,76,Others,10:00,20:00,4,2,average,FALSE,15222,18598,1999
263,21,Deli,9:00,18:00,4.5,1,average,FALSE,15224,22880,12095
264,25,Sandwiches,8:00,22:30,4.5,1,loud,FALSE,15218,35983,14956
265,8,Burgers,11:00,15:00,4,2,quiet,FALSE,15219,14399,19204
266,3,Chinese,9:00,17:00,3.5,0,,,15221,30668,36387
267,13,Italian,16:00,21:00,4,3,average,,15201,27031,14326
268,10,Burgers,7:30,21:00,4,1,average,FALSE,15205,38507,22586
269,9,Italian,11:30,21:00,4,2,average,FALSE,15220,44018,19693
270,13,Deli,12:00,22:00,3,1,average,FALSE,15217,45173,26425
271,14,Pizza,10:00,23:00,3.5,1,average,TRUE,15212,26712,31850
272,25,Thai,11:00,22:00,4,2,quiet,FALSE,15217,45173,26425
273,7,American,11:00,2:00,3.5,2,average,TRUE,15235,41367,39126
274,127,American,17:00,22:00,4,2,average,FALSE,15232,32552,11792
275,5,American,10:00,18:00,3,0,,,15203,27595,9613
276,58,Others,17:00,5:00,4,1,average,FALSE,15201,27031,14326
277,4,Japanese,11:00,22:00,4.5,1,quiet,FALSE,15224,22880,12095
278,20,Chinese,11:00,22:00,3.5,2,average,TRUE,15201,27031,14326
279,6,American,8:00,15:00,4.5,1,quiet,,15206,28517,32482
280,26,Others,11:00,0:00,4,1,average,FALSE,15203,27595,9613
281,20,American,6:00,2:00,5,1,quiet,FALSE,15223,33724,7991
282,14,Sandwiches,11:00,17:00,3.5,1,average,FALSE,15224,22880,12095
283,22,Italian,9:00,21:00,3.5,3,average,FALSE,15222,18598,1999
284,7,American,11:00,20:00,2.5,2,very_loud,,15222,18598,1999
285,3,Others,8:00,19:00,3,1,,FALSE,15227,38439,29621
286,3,Burgers,8:00,20:00,3,0,,FALSE,15224,22880,12095
287,3,Others,11:00,2:00,4.5,1,,FALSE,15203,27595,9613
288,25,Others,11:30,22:00,3,3,average,FALSE,15215,43750,13212
289,103,Steakhouses,0:00,0:00,3,0,,FALSE,15212,26712,31850
290,15,Others,6:00,16:00,4,1,average,FALSE,15233,23841,4876
291,44,Pizza,10:00,22:00,3.5,1,average,FALSE,15217,45173,26425
292,4,Burgers,11:00,22:00,2,1,average,FALSE,15221,30668,36387
293,8,Pizza,8:00,20:00,2,1,,TRUE,15203,27595,9613
294,11,Others,11:00,22:30,4.5,2,quiet,FALSE,15208,24178,13352
295,32,American,11:00,21:00,4,2,average,FALSE,15216,39526,24691
296,69,American,11:00,2:00,3,2,average,FALSE,15212,26712,31850
297,60,Italian,7:00,16:00,3.5,1,quiet,TRUE,15224,22880,12095
298,8,Sandwiches,7:00,20:00,4.5,1,quiet,FALSE,15212,26712,31850
299,62,Steakhouses,17:00,21:30,3.5,4,average,FALSE,15212,26712,31850
300,11,Others,11:30,1:00,3,1,,,15222,18598,1999
301,7,Chinese,9:00,17:00,1.5,1,quiet,TRUE,15222,18598,1999
302,28,Chinese,13:00,21:00,4,2,quiet,TRUE,15217,45173,26425
303,7,Burgers,10:30,22:00,1.5,0,very_loud,,15203,27595,9613
304,56,Italian,17:00,2:00,3.5,2,average,FALSE,15232,32552,11792
305,13,Sandwiches,10:00,22:00,3.5,1,average,TRUE,15203,27595,9613
306,104,Others,11:00,21:00,3.5,1,average,FALSE,15206,28517,32482
307,5,Sandwiches,8:00,17:00,3.5,0,quiet,FALSE,15222,18598,1999
308,4,Others,7:00,19:00,5,1,average,FALSE,15219,14399,19204
309,121,Japanese,11:00,22:00,3.5,2,average,FALSE,15217,45173,26425
310,6,Others,11:30,14:30,3,0,,,15216,39526,24691
311,261,American,11:30,22:00,4,3,average,FALSE,15201,27031,14326
312,15,Others,6:00,18:00,3.5,1,quiet,FALSE,15201,27031,14326
313,8,Others,6:30,22:00,3.5,1,average,FALSE,15241,85102,20616
314,7,American,11:30,2:00,2.5,2,,FALSE,15222,18598,1999
315,3,American,15:00,2:00,2.5,2,,FALSE,15217,45173,26425
316,11,American,9:00,21:00,4,2,average,FALSE,15215,43750,13212
317,8,Mexican,11:00,20:00,4,2,average,FALSE,15222,18598,1999
318,64,Deli,11:00,20:00,4.5,1,average,FALSE,15201,27031,14326
319,13,Sandwiches,8:00,22:00,3.5,1,quiet,TRUE,15213,18473,28320
320,4,American,8:00,17:00,4,1,very_loud,FALSE,15202,34727,21022
321,7,Pizza,7:00,15:00,4.5,1,average,FALSE,15222,18598,1999
322,27,Italian,11:00,21:00,4,2,average,FALSE,15220,44018,19693
323,45,Italian,17:00,0:00,3,2,average,FALSE,15201,27031,14326
324,43,Others,11:00,22:30,4,1,average,FALSE,15203,27595,9613
325,6,Others,7:00,17:00,5,1,,FALSE,15233,23841,4876
326,6,Sandwiches,16:00,22:00,1.5,1,,TRUE,15222,18598,1999
327,6,Others,10:30,19:00,3,2,average,FALSE,15222,18598,1999
328,3,Deli,12:00,20:00,3.5,1,quiet,FALSE,15212,26712,31850
329,6,Sandwiches,10:00,15:30,3.5,1,average,,15222,18598,1999
330,9,Italian,11:00,23:00,3,2,average,FALSE,15213,18473,28320
331,18,American,11:30,2:00,3.5,1,,FALSE,15222,18598,1999
332,4,Pizza,11:00,2:00,2.5,2,,,15238,67370,13571
333,4,Chinese,6:00,21:00,4,2,quiet,FALSE,15221,30668,36387
334,13,Sandwiches,10:00,20:00,4,1,average,FALSE,15221,30668,36387
335,3,Others,7:00,1:00,5,1,,FALSE,15218,35983,14956
336,6,Others,8:00,17:30,2,1,quiet,FALSE,15222,18598,1999
337,13,Mexican,11:00,22:00,2.5,1,average,FALSE,15213,18473,28320
338,4,Burgers,9:00,18:00,2.5,0,,,15222,18598,1999
339,4,Middle Eastern,17:00,21:00,5,1,average,TRUE,15202,34727,21022
340,6,Others,0:00,0:00,3.5,1,average,FALSE,15213,18473,28320
341,14,Pizza,11:30,18:00,4,1,average,TRUE,15224,22880,12095
342,110,Others,11:00,22:00,4,2,average,FALSE,15212,26712,31850
343,22,Burgers,10:00,17:00,4,1,loud,TRUE,15222,18598,1999
344,20,Others,11:00,2:00,3,2,average,TRUE,15213,18473,28320
345,87,Italian,6:00,16:00,4,2,average,FALSE,15222,18598,1999
346,18,American,17:00,22:00,4,3,quiet,FALSE,15233,23841,4876
347,22,Pizza,11:00,22:00,3.5,1,average,TRUE,15217,45173,26425
348,5,Italian,10:30,21:00,2.5,2,,FALSE,15219,14399,19204
349,13,Burgers,11:30,0:00,4,2,average,FALSE,15216,39526,24691
350,26,American,11:00,2:00,3.5,2,average,FALSE,15201,27031,14326
351,8,Others,11:00,19:00,5,0,,TRUE,15213,18473,28320
352,93,Italian,11:00,22:00,4,2,average,FALSE,15222,18598,1999
353,4,Mexican,7:00,1:00,3.5,1,quiet,FALSE,15218,35983,14956
354,16,Others,17:00,22:00,3.5,1,average,TRUE,15205,38507,22586
355,8,Mexican,12:00,22:30,4,1,quiet,,15203,27595,9613
356,9,Sandwiches,10:00,19:00,3,1,,FALSE,15222,18598,1999
357,34,Others,9:00,17:00,3.5,2,average,FALSE,15232,32552,11792
358,8,Pizza,8:00,22:00,2,2,,TRUE,15205,38507,22586
359,14,American,11:30,21:00,3.5,2,average,FALSE,15209,38292,12891
360,147,Mexican,11:00,2:00,3.5,2,loud,FALSE,15206,28517,32482
361,60,Deli,6:00,19:00,3,1,average,FALSE,15217,45173,26425
362,12,Sandwiches,11:00,21:00,3.5,2,average,FALSE,15228,58440,17723
363,53,Japanese,11:00,21:00,3,2,average,TRUE,15213,18473,28320
364,3,Deli,10:00,18:00,4,1,quiet,FALSE,15210,27041,31216
365,86,American,11:00,21:00,4,2,average,FALSE,15224,22880,12095
366,9,Others,9:00,20:00,3.5,2,loud,FALSE,15232,32552,11792
367,166,Thai,11:30,21:30,4,2,average,FALSE,15222,18598,1999
368,122,Others,11:00,0:00,3.5,2,average,FALSE,15206,28517,32482
369,4,Chinese,9:00,18:00,1.5,1,,TRUE,15217,45173,26425
370,4,Burgers,8:00,22:30,3,1,,FALSE,15218,35983,14956
371,4,Others,7:00,23:00,5,1,average,FALSE,15203,27595,9613
372,9,Others,8:00,20:00,2.5,1,quiet,FALSE,15209,38292,12891
373,6,Pizza,8:00,18:00,4,1,quiet,FALSE,15222,18598,1999
374,10,Italian,16:00,22:00,4,2,average,FALSE,15226,37889,14648
375,12,Deli,8:00,18:00,3.5,1,average,FALSE,15224,22880,12095
376,6,Burgers,12:00,21:00,3,3,,FALSE,15219,14399,19204
377,19,Mexican,11:00,20:00,3,1,average,FALSE,15232,32552,11792
